/*
	Contributor: Javier Mandrille
	Assets URI: https://www.dropbox.com/s/lwpw9c4lk1cl12m/generic-assets.zip?dl=1
*/
play_date,home_team,away_team,stadium,match_type,home_team_photo,home_team_flag,home_team_link,home_team_group,home_team_group_order,home_team_is_real,away_team_photo,away_team_flag,away_team_link,away_team_group,away_team_group_order,away_team_is_real,stadium_photo
"2024-06-21 00:00:00",Argentina,Canada,"Mercedes-Benz Stadium","Fase de Grupos",,ar.png,,"Grupo A",1,1,,ca.png,,"Grupo A",4,1,
"2024-06-22 00:00:00",Perú,Chile,"AT&T Stadium","Fase de Grupos",,pe.png,,"Grupo A",2,1,,cl.png,,"Grupo A",3,1,
"2024-06-22 22:00:00",Ecuador,Venezuela,"Levi's Stadium","Fase de Grupos",,ec.png,,"Grupo B",2,1,,ve.png,,"Grupo B",3,1,
"2024-06-23 01:00:00",México,Jamaica,"NRG Stadium","Fase de Grupos",,mx.png,,"Grupo B",1,1,,jm.png,,"Grupo B",4,1,
"2024-06-23 22:00:00","Estados Unidos",Bolivia,"AT&T Stadium","Fase de Grupos",,us.png,,"Grupo C",1,1,,bo.png,,"Grupo C",4,1,
"2024-06-24 01:00:00",Uruguay,Panamá,"Hard Rock Stadium","Fase de Grupos",,uy.png,,"Grupo C",2,1,,pa.png,,"Grupo C",3,1,
"2024-06-24 22:00:00",Colombia,Paraguay,"NRG Stadium","Fase de Grupos",,co.png,,"Grupo D",2,1,,py.png,,"Grupo D",3,1,
"2024-06-25 01:00:00",Brasil,"Costa Rica","SoFi Stadium","Fase de Grupos",,br.png,,"Grupo D",1,1,,cr.png,,"Grupo D",4,1,
"2024-06-25 22:00:00",Perú,Canada,"Children's Mercy Park","Fase de Grupos",,pe.png,,"Grupo A",2,1,,ca.png,,"Grupo A",4,1,
"2024-06-26 01:00:00",Chile,Argentina,"MetLife Stadium","Fase de Grupos",,cl.png,,"Grupo A",3,1,,ar.png,,"Grupo A",1,1,
"2024-06-26 22:00:00",Ecuador,Jamaica,"Allegiant Stadium","Fase de Grupos",,ec.png,,"Grupo B",2,1,,jm.png,,"Grupo B",4,1,
"2024-06-27 01:00:00",Venezuela,México,"SoFi Stadium","Fase de Grupos",,ve.png,,"Grupo B",3,1,,mx.png,,"Grupo B",1,1,
"2024-06-27 22:00:00",Panamá,"Estados Unidos","Mercedes-Benz Stadium","Fase de Grupos",,pa.png,,"Grupo C",3,1,,us.png,,"Grupo C",1,1,
"2024-06-28 01:00:00",Uruguay,Bolivia,"MetLife Stadium","Fase de Grupos",,uy.png,,"Grupo C",2,1,,bo.png,,"Grupo C",4,1,
"2024-06-28 22:00:00",Colombia,"Costa Rica","State Farm Stadium","Fase de Grupos",,co.png,,"Grupo D",2,1,,cr.png,,"Grupo D",4,1,
"2024-06-29 01:00:00",Paraguay,Brasil,"Allegiant Stadium","Fase de Grupos",,py.png,,"Grupo D",3,1,,br.png,,"Grupo D",1,1,
"2024-06-30 00:00:00",Argentina,Perú,"Hard Rock Stadium","Fase de Grupos",,ar.png,,"Grupo A",1,1,,pe.png,,"Grupo A",2,1,
"2024-06-30 00:00:00",Canada,Chile,"Inter&Co Stadium","Fase de Grupos",,ca.png,,"Grupo A",4,1,,cl.png,,"Grupo A",3,1,
"2024-07-01 00:00:00",México,Ecuador,"State Farm Stadium","Fase de Grupos",,mx.png,,"Grupo B",1,1,,ec.png,,"Grupo B",2,1,
"2024-07-01 00:00:00",Jamaica,Venezuela,"Q2 Stadium","Fase de Grupos",,jm.png,,"Grupo B",4,1,,ve.png,,"Grupo B",3,1,
"2024-07-02 01:00:00","Estados Unidos",Uruguay,"Arrowhead Stadium","Fase de Grupos",,us.png,,"Grupo C",1,1,,uy.png,,"Grupo C",2,1,
"2024-07-02 01:00:00",Bolivia,Panamá,"Inter&Co Stadium","Fase de Grupos",,bo.png,,"Grupo C",4,1,,pa.png,,"Grupo C",3,1,
"2024-07-03 01:00:00",Brasil,Colombia,"Levi's Stadium","Fase de Grupos",,br.png,,"Grupo D",1,1,,co.png,,"Grupo D",2,1,
"2024-07-03 01:00:00","Costa Rica",Paraguay,"Q2 Stadium","Fase de Grupos",,cr.png,,"Grupo D",4,1,,py.png,,"Grupo D",3,1,
"2024-07-05 01:00:00","1ro A","2do B","NRG Stadium","Cuartos de final",,,,,0,0,,,,,0,0,
"2024-07-06 01:00:00","1ro B","2do A","AT&T Stadium","Cuartos de final",,,,,0,0,,,,,0,0,
"2024-07-06 22:00:00","1ro D","2do C","State Farm Stadium","Cuartos de final",,,,,0,0,,,,,0,0,
"2024-07-07 01:00:00","1ro C","2do D","Allegiant Stadium","Cuartos de final",,,,,0,0,,,,,0,0,
"2024-07-10 00:00:00","Ganador #25","Ganador #26","MetLife Stadium",Semifinal,,,,,0,0,,,,,0,0,
"2024-07-11 00:00:00","Ganador #27","Ganador #28","Bank of America Stadium",Semifinal,,,,,0,0,,,,,0,0,
"2024-07-14 00:00:00","Perdedor #29","Perdedor #30","Bank of America Stadium","3er Puesto",,,,,0,0,,,,,0,0,
"2024-07-15 00:00:00","Ganador #29","Ganador #30","Hard Rock Stadium",Final,,,,,0,0,,,,,0,0,
