play_date,home_team,away_team,stadium,match_type
2024-02-16 20:00,Leigh Leopards,Huddersfield Giants,Leigh Sports Village Stadium,Super League 2024
2024-02-16 20:00,St Helens,London Broncos,Totally Wicked Stadium,Super League 2024
2024-02-17 15:00,Castleford Tigers,Wigan Warriors,"The Jungle, Castleford",Super League 2024
2024-02-17 17:30,Catalans Dragons,Warrington Wolves,Stade Gilbert Brutus,Super League 2024
Friday 16th February,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
